,tmdb_id,genre1,genre2,genre3
416,329809.0,Comedy,Crime,Drama
417,23047.0,Adventure,Fantasy,Action
418,302348.0,Action,War,
419,16866.0,Family,Comedy,Science Fiction
420,52449.0,Comedy,,
421,339397.0,Comedy,Drama,Romance
422,348713.0,Comedy,,
423,116745.0,Adventure,Comedy,Drama
424,116745.0,Adventure,Comedy,Drama
425,479455.0,Comedy,Science Fiction,
426,160564.0,Drama,Comedy,Romance
427,152780.0,Drama,Mystery,
428,271724.0,Drama,,
429,41630.0,Comedy,Romance,
430,51739.0,Fantasy,Animation,Family
431,47971.0,Action,Adventure,Crime
432,158852.0,Adventure,Family,Mystery
433,569814.0,Comedy,,
434,453405.0,Science Fiction,Action,Thriller
435,509364.0,Drama,,
436,173897.0,Action,Horror,Science Fiction
437,341392.0,Comedy,,
438,402900.0,Crime,Comedy,Action
439,207932.0,Mystery,Thriller,Drama
440,82990.0,Horror,,
441,369780.0,Comedy,,
442,387592.0,Family,Comedy,Animation
443,566454.0,Drama,Comedy,
444,209355.0,Comedy,,
445,126319.0,Animation,Comedy,Drama
446,59967.0,Action,Thriller,Science Fiction
447,428756.0,Comedy,,
448,381284.0,Drama,History,
449,54138.0,Action,Adventure,Science Fiction
450,76493.0,Comedy,,
451,51876.0,Thriller,Mystery,Science Fiction
452,135281.0,Comedy,Romance,Drama
453,135281.0,Comedy,Romance,Drama
454,38031.0,Comedy,Drama,Romance
455,440161.0,Western,Drama,Adventure
456,199549.0,Comedy,Romance,
457,157820.0,Drama,Fantasy,
458,509730.0,Family,Animation,
459,522681.0,Horror,Thriller,Mystery
460,458302.0,Adventure,Family,Drama
461,37710.0,Action,Thriller,Romance
462,451945.0,Drama,,
463,200462.0,Horror,,
464,303858.0,Thriller,Drama,
465,489418.0,Drama,,
466,581472.0,Comedy,Thriller,
467,339403.0,Action,Crime,
468,37832.0,Comedy,,
469,401981.0,Mystery,Thriller,
470,53457.0,Drama,War,
471,393559.0,Animation,Drama,Comedy
472,48171.0,Drama,Thriller,Horror
473,72559.0,Science Fiction,Adventure,Action
474,510452.0,Comedy,,
475,478820.0,Drama,Crime,Thriller
476,478820.0,Drama,Crime,Thriller
477,50848.0,Drama,Comedy,Romance
478,72571.0,Horror,Mystery,
479,241875.0,Comedy,Romance,
480,510465.0,Comedy,Family,
481,44912.0,Adventure,Action,Thriller
482,10263.0,Fantasy,Horror,Thriller
483,332872.0,Drama,Romance,
484,613349.0,Comedy,,
485,324857.0,Action,Adventure,Animation
486,53844.0,Comedy,Romance,
487,41733.0,Comedy,Drama,
488,57165.0,Fantasy,Adventure,
489,157353.0,Thriller,Science Fiction,Drama
490,41436.0,Horror,Mystery,Fantasy
491,519106.0,Comedy,Drama,Romance
492,519106.0,Comedy,Drama,Romance
493,81342.0,Drama,Comedy,Romance
494,382595.0,Music,Drama,
495,228150.0,War,Drama,Action
496,86837.0,Drama,Romance,
497,78476.0,Comedy,,
498,58224.0,Comedy,Family,
499,369781.0,Comedy,,
500,504608.0,Music,Drama,History
501,463861.0,Comedy,,
502,65057.0,Comedy,Drama,
503,445651.0,Science Fiction,Action,Drama
504,328387.0,Mystery,Adventure,Crime
505,57695.0,Action,Drama,History
506,329805.0,Drama,Romance,
507,342281.0,Comedy,Romance,
508,61667.0,Drama,Comedy,
509,50845.0,Comedy,Drama,
510,378236.0,Animation,Family,Comedy
511,156022.0,Thriller,Action,Crime
512,39513.0,Adventure,Comedy,Science Fiction
513,592480.0,Comedy,Drama,
514,68713.0,Drama,,
515,68713.0,Drama,,
516,65233.0,Comedy,Drama,
517,432087.0,Drama,Comedy,
518,57212.0,War,Drama,Action
519,574861.0,Comedy,,
520,257344.0,Action,Comedy,Science Fiction
521,18191.0,Drama,Thriller,
522,427348.0,Thriller,Crime,
523,45612.0,Thriller,Science Fiction,Mystery
524,59859.0,Action,Adventure,Crime
525,329819.0,Drama,,
526,365045.0,Adventure,Family,
527,333549.0,Comedy,,
528,364051.0,Drama,History,
529,113594.0,Adventure,Animation,
530,467482.0,Comedy,Drama,
531,398939.0,Comedy,,
532,454640.0,Animation,Comedy,Adventure
533,46529.0,Action,Thriller,Science Fiction
534,43347.0,Drama,Comedy,Romance
535,43347.0,Drama,Comedy,Romance
536,39538.0,Drama,Thriller,Science Fiction
537,448779.0,Adventure,Comedy,Family
538,375809.0,Drama,Comedy,
539,515195.0,Music,Comedy,Romance
540,82682.0,Crime,Drama,Action
541,205220.0,Drama,,
542,59961.0,Action,Thriller,
543,73579.0,Comedy,,
544,11652.0,Drama,History,
545,322125.0,Drama,Thriller,
546,38167.0,Drama,Romance,
547,447200.0,Action,Thriller,
548,214087.0,Drama,,
549,426962.0,Comedy,,
550,432618.0,Comedy,,
551,447332.0,Horror,Drama,Science Fiction
552,583268.0,Drama,Romance,Comedy
553,168672.0,Drama,Crime,
554,413644.0,Family,Animation,Comedy
555,421456.0,Animation,Adventure,
556,43593.0,Comedy,Horror,
557,103731.0,Drama,,
558,244786.0,Drama,Music,
559,377263.0,History,Drama,Romance
560,337674.0,Drama,Thriller,
561,314402.0,Crime,Drama,
562,49017.0,Horror,Action,Drama
563,146216.0,Action,Comedy,Crime
564,204082.0,Action,Thriller,
565,100381.0,Adventure,Drama,Action
566,305387.0,Family,Animation,
567,495673.0,Comedy,Crime,
568,65759.0,Animation,Comedy,Family
569,463053.0,Comedy,Romance,
570,737342.0,,,
571,62214.0,Animation,Comedy,Family
572,364137.0,Drama,Comedy,
573,364137.0,Drama,Comedy,
574,443398.0,Comedy,,
575,462979.0,Comedy,,
576,378111.0,Family,Fantasy,Adventure
577,50014.0,Drama,,
578,314365.0,Drama,History,
579,141581.0,Comedy,,
580,38060.0,Animation,Family,TV Movie
581,71688.0,History,Drama,
582,62835.0,Action,Thriller,Crime
583,360994.0,Romance,Comedy,
584,198184.0,Crime,Action,Science Fiction
585,122081.0,Drama,Crime,
586,469055.0,Comedy,,
587,38961.0,Comedy,Romance,
588,492550.0,Drama,Comedy,
589,382509.0,Drama,,
590,316029.0,Drama,,
591,199661.0,Romance,Comedy,
592,289171.0,Fantasy,Comedy,Adventure
593,475303.0,Comedy,Romance,
594,338967.0,Horror,Comedy,
595,320006.0,Comedy,Drama,
596,49510.0,Comedy,Crime,
597,49510.0,Comedy,Crime,
598,428078.0,Adventure,Science Fiction,
599,60650.0,Comedy,,
600,490450.0,Comedy,Drama,
601,532938.0,Comedy,,
602,87502.0,Drama,,
603,547388.0,Comedy,Drama,
604,68178.0,Drama,Thriller,
605,68178.0,Drama,Thriller,
606,23629.0,Action,Fantasy,Thriller
607,50359.0,Animation,Comedy,Family
608,272435.0,Romance,Drama,Comedy
609,73532.0,Drama,Comedy,
610,283726.0,Drama,,
611,301337.0,Comedy,Drama,Science Fiction
612,227348.0,Horror,Thriller,
613,59861.0,Comedy,Romance,Drama
614,302699.0,Action,Comedy,Mystery
615,371865.0,Comedy,,
616,100830.0,Comedy,,
617,81836.0,Romance,Comedy,Drama
618,393764.0,Comedy,,
619,55721.0,Comedy,Romance,
620,303483.0,Drama,,
621,468207.0,Drama,,
622,358725.0,Comedy,Drama,
623,34851.0,Science Fiction,Action,Thriller
624,37534.0,Horror,Thriller,
625,515911.0,Drama,Romance,
626,187017.0,Crime,Comedy,Action
627,334533.0,Adventure,Drama,
628,51072.0,Comedy,Romance,
629,329724.0,Drama,,
630,204198.0,Drama,,
631,86829.0,Drama,Music,
632,277432.0,Action,Comedy,Crime
633,99579.0,Drama,History,
634,50544.0,Romance,Comedy,
635,117251.0,Action,Drama,Thriller
636,348025.0,Comedy,Drama,
637,369784.0,Family,Comedy,
638,289151.0,Comedy,,
639,238636.0,Horror,Thriller,
640,298250.0,Horror,Crime,Mystery
641,469052.0,Comedy,,
642,80278.0,Thriller,Drama,
643,41273.0,Drama,Comedy,
644,486521.0,Comedy,Drama,
645,375900.0,Comedy,,
646,225886.0,Comedy,,
647,286565.0,Mystery,Drama,Romance
648,63831.0,Drama,,
649,390043.0,Thriller,Comedy,Crime
650,495671.0,Drama,Comedy,
651,97630.0,Thriller,Drama,History
652,152737.0,Comedy,Drama,
653,138832.0,Comedy,Crime,
654,204436.0,Animation,Romance,Adventure
655,86391.0,Comedy,Drama,
656,48231.0,Drama,Thriller,
657,173897.0,Action,Horror,Science Fiction
658,59145.0,Drama,Action,Thriller
659,570260.0,Comedy,Drama,
660,58858.0,Comedy,,
661,308266.0,Comedy,Crime,Drama
662,87421.0,Science Fiction,Action,Thriller
663,12573.0,Comedy,Drama,
664,221902.0,Drama,,
665,221902.0,Drama,,
666,83666.0,Comedy,Drama,Romance
667,130055.0,Drama,Comedy,
668,593475.0,Comedy,,
669,134673.0,Drama,Romance,
670,302401.0,Drama,History,Crime
671,82525.0,Crime,Drama,Thriller
672,77951.0,Animation,Family,Adventure
673,85546.0,Drama,,
674,280092.0,Horror,Drama,Thriller
675,77878.0,Drama,,
676,419772.0,Comedy,,
677,68737.0,Adventure,Fantasy,
678,427347.0,Drama,,
679,522369.0,Drama,,
680,925872.0,,,
681,191714.0,Drama,Romance,
682,53404.0,Thriller,Crime,Mystery
683,39210.0,Drama,,
684,172391.0,Animation,Adventure,Family
685,346685.0,Crime,Drama,Mystery
686,511987.0,Thriller,Horror,Action
687,53866.0,Comedy,,
688,72331.0,Action,Fantasy,Horror
689,72331.0,Action,Fantasy,Horror
690,170687.0,Animation,Comedy,Family
691,334541.0,Drama,,
692,305455.0,Comedy,,
693,258480.0,Romance,Drama,
694,333371.0,Thriller,Science Fiction,Drama
695,482712.0,Drama,,
696,248611.0,Action,Thriller,
697,44943.0,Science Fiction,Action,
698,370567.0,Animation,Family,Fantasy
699,136797.0,Action,Crime,Drama
700,79108.0,Comedy,,
701,398947.0,Comedy,Family,
702,215303.0,Comedy,,
703,376866.0,Drama,,
704,44009.0,Drama,,
705,77462.0,Drama,Comedy,
706,129112.0,Drama,,
707,49018.0,Horror,Thriller,
708,27579.0,Crime,Drama,Thriller
709,570132.0,Comedy,,
710,137094.0,Action,Drama,Thriller
711,262958.0,History,Drama,
712,77987.0,Drama,Thriller,Crime
713,152601.0,Romance,Science Fiction,Drama
714,589985.0,Comedy,Drama,
715,256913.0,Drama,Romance,
716,109424.0,Action,Drama,Thriller
717,437425.0,Romance,Comedy,
718,489415.0,Drama,Comedy,
719,273481.0,Action,Crime,Thriller
720,263281.0,Comedy,Drama,
721,259694.0,Comedy,Romance,
722,82633.0,Crime,Drama,Western
723,83542.0,Drama,Science Fiction,
724,487004.0,Comedy,,
725,37638.0,Comedy,,
726,76025.0,Drama,,
727,393717.0,Drama,Crime,Thriller
728,341013.0,Action,Thriller,
729,343702.0,Comedy,Drama,
730,24438.0,Comedy,,
731,96936.0,Drama,Crime,
732,469056.0,Comedy,,
733,332812.0,Romance,Comedy,Drama
734,199914.0,Comedy,Drama,
735,425336.0,Crime,Drama,
736,273895.0,History,Drama,
737,313297.0,Animation,Adventure,Family
738,25376.0,Crime,Drama,Mystery
739,319340.0,Comedy,,
740,38408.0,Comedy,Romance,Drama
741,80274.0,Science Fiction,Action,Adventure
742,200823.0,Comedy,,
743,438347.0,Romance,Comedy,
744,443401.0,Comedy,,
745,82507.0,Horror,Thriller,Mystery
746,253239.0,Drama,,
747,204765.0,Comedy,,
748,77460.0,Comedy,,
749,277231.0,Romance,Comedy,
750,393945.0,Drama,,
751,83389.0,Animation,Drama,
752,62215.0,Drama,Science Fiction,
753,52264.0,Animation,Comedy,
754,228326.0,Animation,Adventure,Comedy
755,321258.0,Horror,Thriller,Mystery
756,370755.0,Comedy,Drama,Romance
757,83801.0,Drama,Crime,
758,498249.0,Comedy,,
759,402907.0,Action,Comedy,
760,245891.0,Action,Thriller,
761,486520.0,Comedy,,
762,605015.0,Comedy,,
763,399174.0,Adventure,Comedy,Animation
764,340361.0,Comedy,Drama,
765,400617.0,Drama,Romance,
766,295087.0,Adventure,Comedy,
767,279545.0,Comedy,,
768,574097.0,Crime,,
769,157690.0,Drama,Comedy,
770,270343.0,Comedy,Romance,
771,481157.0,Comedy,,
772,274855.0,Action,Science Fiction,Thriller
773,314095.0,Adventure,Drama,History
774,348060.0,Action,Drama,
775,358430.0,Comedy,,
776,520318.0,Drama,,
777,451955.0,Romance,Thriller,Drama
778,280092.0,Horror,Drama,Thriller
779,280092.0,Horror,Drama,Thriller
780,267804.0,Drama,Comedy,
781,294463.0,Comedy,,
782,498247.0,Comedy,,
783,29963.0,Drama,Romance,
