,tmdb_id,budget,imdb_id,original_language,original_title,tmdb_popularity,runtime,tagline,title,tmdb_vote_count,tmdb_vote_average,cast1,cast1_popularity,cast2,cast2_popularity,cast3,cast3_popularity
92,500852.0,15000000.0,tt5941692,en,Miss Bala,22.751,104.0,On ne plaisante pas avec la famille.,Miss Bala,421.0,6.4,Gina Rodriguez,12.332,Ismael Cruz Córdova,8.136,Aislinn Derbez,7.736
93,137695.0,0.0,tt1621766,fr,Couleur de peau : Miel,2.006,75.0,Pas facile d'adopter sa nouvelle famille,Couleur de peau : Miel,21.0,7.3,William Coryn,3.173,Christelle Cornil,1.091,Jean-Luc Couchard,1.788
94,110969.0,0.0,tt1922733,fr,Sur la planche,1.197,106.0,,Sur la planche,5.0,5.4,Soufia Issami,0.6,Mouna Bahmad,0.6,Nouzha Akel,0.6
95,109154.0,0.0,tt1846612,fr,La Cerise sur le Gâteau,1.082,80.0,,La Cerise sur le gâteau,14.0,5.7,Laura Morante,6.397,Isabelle Carré,4.334,Pascal Elbé,1.62
96,98612.0,0.0,tt1813774,de,Über uns das All,1.275,88.0,,L'amour et rien d'autre,17.0,5.8,Sandra Hüller,2.744,Georg Friedrich,2.119,Felix Knopp,0.98
97,482321.0,0.0,tt7504818,en,Ron's Gone Wrong,563.352,107.0,"Ton ami pour la vie (avec lui, le courant passe bien... ou presque)",Ron débloque,1162.0,8.1,Zach Galifianakis,31.797,Jack Dylan Grazer,10.404,Ed Helms,28.476
98,136670.0,2700000.0,tt1472464,fr,Une estonienne à Paris,1.181,90.0,,Une estonienne à Paris,7.0,5.8,Jeanne Moreau,7.369,Laine Mägi,2.542,Patrick Pineau,1.96
99,102001.0,0.0,tt1843287,ja,Like Someone in Love,7.993,105.0,,Like Someone in Love,168.0,7.0,Rin Takanashi,6.4,Tadashi Okuno,0.936,Ryo Kase,2.957
100,76543.0,0.0,tt1204340,en,Tyrannosaur,9.802,91.0,,Tyrannosaur,344.0,7.2,Peter Mullan,10.157,Olivia Colman,9.576,Eddie Marsan,55.083
101,112592.0,0.0,tt2102364,fr,Les Papas du dimanche,1.991,90.0,,Les Papas du dimanche,15.0,5.3,Olivier Baroux,1.033,Thierry Neuvic,6.865,Hélène Fillières,1.62
102,51994.0,0.0,tt1700844,en,The Deep Blue Sea,11.544,94.0,,The deep blue sea,221.0,5.9,Rachel Weisz,15.453,Tom Hiddleston,29.12,Simon Russell Beale,2.891
103,81025.0,0.0,tt1441952,en,Salmon Fishing in the Yemen,9.253,111.0,,Des saumons dans le désert,724.0,6.4,Ewan McGregor,19.483,Emily Blunt,22.704,Kristin Scott Thomas,9.902
104,147798.0,0.0,tt1992163,fr,Je me suis fait tout petit,2.184,96.0,,Je me suis fait tout petit,12.0,6.3,Denis Ménochet,7.322,Vanessa Paradis,8.666,Léa Drucker,5.293
105,146592.0,0.0,tt2294917,fr,Traviata et nous,0.947,112.0,,Traviata et nous,3.0,6.0,Natalie Dessay,2.836,Jean-François Sivadier,1.96,Louis Langrée,0.6
106,133246.0,2200000.0,tt1920984,fr,La Désintégration,1.338,78.0,,La Désintégration,18.0,5.6,Rashid Debbouze,0.6,Yassine Azzouz,1.38,Ymanol Perset,1.799
107,50837.0,0.0,tt1441326,en,Martha Marcy May Marlene,12.443,101.0,,Martha Marcy May Marlene,595.0,6.7,Elizabeth Olsen,27.809,John Hawkes,4.074,Sarah Paulson,12.291
108,126326.0,0.0,tt2399523,fr,Journal de France,1.418,100.0,,Journal de France,16.0,6.8,Raymond Depardon,0.6,Claudine Nougaret,0.6,,
109,89455.0,0.0,tt1680045,en,360,11.526,110.0,,360,215.0,5.8,Rachel Weisz,15.453,Jude Law,18.596,Ben Foster,6.997
110,130099.0,0.0,tt2229253,fr,"La Vierge, les Coptes et Moi",0.632,85.0,,"La Vierge, les Coptes et Moi",7.0,7.1,Samir Abdel Messeeh,1.38,Namir Abdel Messeeh,0.6,,
111,98277.0,0.0,tt2106321,fr,Aux yeux de tous,2.793,85.0,,Aux yeux de tous,30.0,6.1,Mélanie Doutey,2.938,Olivier Barthélémy,3.781,Francis Renaud,1.271
112,10524.0,0.0,tt0864918,fr,La Disparue de Deauville,3.32,100.0,,La Disparue de Deauville,21.0,4.3,Sophie Marceau,20.213,Christophe Lambert,12.561,Nicolas Briançon,0.98
113,96821.0,0.0,tt2177511,it,Cesare deve morire,6.436,76.0,,César doit mourir,115.0,7.3,Giovanni Arcuri,1.094,Cosimo Rega,0.6,Salvatore Striano,1.4
114,103332.0,8000000.0,tt1839492,en,Ruby Sparks,24.153,100.0,,Elle s'appelle Ruby,1313.0,7.1,Paul Dano,76.523,Zoe Kazan,17.651,Chris Messina,9.831
115,136424.0,0.0,tt2229056,fa,Yek Khanévadéh-e Mohtaram,1.114,90.0,,Une famille respectable,8.0,5.5,Babak Hamidian,3.766,Mehrdad Sedighian,1.216,Ahoo Kheradmand,1.094
116,126321.0,0.0,tt2369497,fr,Trois mondes,1.857,95.0,,Trois mondes,19.0,5.5,Raphaël Personnaz,6.95,Clotilde Hesme,6.121,Arta Dobroshi,1.194
117,,,,,,,,,,,,,,,,,
118,19178.0,0.0,tt0049877,fr,La Traversée de Paris,7.431,80.0,,La Traversée de Paris,202.0,7.2,Jean Gabin,6.719,Bourvil,3.62,Jeannette Batti,0.84
119,74306.0,0.0,tt1912398,en,God Bless America,12.973,100.0,"Sortir les ordures, une à la fois.",God Bless America,768.0,7.0,Alexie Gilmore,5.196,Tara Lynne Barr,3.805,Joel Murray,5.491
120,103740.0,0.0,tt2258281,ro,După dealuri,6.53,150.0,,Au-delà des collines,143.0,7.0,Cosmina Stratan,1.694,Cristina Flutur,1.703,Valeriu Andriuță,0.694
121,71880.0,79000000.0,tt0810913,en,Jack and Jill,50.985,100.0,Sa sœur jumelle vient pour les vacances… et c’est pas du joli,Jack et Julie,1726.0,4.3,Adam Sandler,20.683,Katie Holmes,6.629,Al Pacino,35.001
122,38889.0,0.0,,en,Rock 'n' Roll Forever,0.6,125.0,,Rock 'n' Roll Forever,1.0,3.0,,,,,,
123,131198.0,0.0,tt2119511,fr,"Sea, no sex & sun",3.159,89.0,,"Sea, no sex & sun",9.0,4.7,Fred Testot,4.19,Antoine Duléry,1.219,Julie Ferrier,2.786
124,427754.0,0.0,tt0424510,fr,Touristes? Oh Yes!,0.6,82.0,,Touristes? Oh Yes!,1.0,1.0,Antoine Cholet,0.6,Johnny Monteilhet,0.6,Johnny Monteilhet,0.6
125,110146.0,0.0,tt1673697,en,The Sapphires,8.862,100.0,,Les Saphirs,166.0,6.8,Jessica Mauboy,3.124,Chris O'Dowd,5.206,Deborah Mailman,7.116
126,63310.0,2000000.0,tt1821593,nl,Rundskop,7.327,128.0,,Bullhead,274.0,7.2,Matthias Schoenaerts,10.761,Jeroen Perceval,3.178,Jeanne Dandoy,1.705
127,99389.0,5000000.0,tt1555084,fr,La terre outragée,3.693,108.0,"Il y a 25 ans, la vie était douce à Tchernobyl.",La Terre outragée,17.0,5.5,Olga Kurylenko,25.482,Andrzej Chyra,1.438,Ilya Iosifov,1.921
128,31939.0,0.0,tt0086904,en,Another Country,8.065,87.0,,Another Country : Histoire d'une trahison,90.0,6.5,Rupert Everett,11.118,Colin Firth,15.249,Michael Jenn,4.424
129,,,,,,,,,,,,,,,,,
130,128070.0,0.0,tt2379436,es,Días de pesca,0.84,78.0,,Jours de pêche en Patagonie,10.0,5.6,Alejandro Awada,2.588,Victoria Almeida,0.6,Oscar Ayala,0.6
131,116377.0,0.0,tt2088962,fr,À cœur ouvert,2.743,87.0,,À cœur ouvert,8.0,5.6,Juliette Binoche,8.906,Edgar Ramírez,8.713,Hippolyte Girardot,3.009
132,,,,,,,,,,,,,,,,,
